Suscriptores ganados;Tiempo de visualización (horas);Me gusta;Clics en teaser de tarjeta;Tarjetas mostradas;Clics en elementos de pantalla final;suscriptores;Densidad_Publicitaria;Porcentaje de clics de las impresiones (%);Duracion Minutos;Comentarios añadidos;Porcentaje medio visto (%);rating;dia_semana;consecutivo_tema;No me gusta;RPM (USD)
0;19579;0;0;0;2;9;0.181;3.35;16.53333333;0;22.57;5;1;10;0;1033
0;0.1902;0;0;0;0;5;0.214;4.12;9.366666667;0;26.28;5;3;16;0;0
0;32164;1;0;0;0;41;0.091;4.51;10.96666667;0;41.84;4.956756757;3;10;0;0.643
0;0.1748;0;0;0;0;7;0;0.81;7.966666667;0;75.08;4.880597015;1;14;0;0.5
0;0.6514;0;0;0;0;9;0;8.94;8.466666667;0;20.22;4.707317073;1;5;0;0.95
0;12961;0;0;0;0;35;0.255;3.1;15.7;0;38.97;4.976744186;3;16;0;0.231
1;0.0675;0;0;0;0;-2;0;3.13;3.7;0;71.02;5;3;17;0;1
1;0.7496;1;0;0;0;10;0;2.93;7.3;0;33.11;5;1;10;0;0.588
0;0.3763;0;0;0;0;4;0.209;1.45;14.36666667;0;19.9;5;1;16;0;0.125
0;0.4958;0;0;0;0;0;0.249;4.2;8.033333333;0;41.23;4.96460177;4;14;0;0.286
0;0.4107;1;0;0;0;50;0.207;1.67;33.83333333;0;6.7;4.954285714;1;16;0;1
0;0.0645;0;0;0;0;-2;0;2.25;6.066666667;0;12.82;4.272727273;1;10;0;1.2
0;0.6378;0;0;0;0;34;0.193;2.84;20.73333333;0;12.53;4.931428571;1;10;0;0.077
0;0.6357;1;0;0;0;195;0.203;4.55;14.8;0;13.72;4.958506224;1;16;0;1588
0;0.866;0;0;0;0;11;0.224;3.2;17.83333333;0;27.92;4.888888889;1;2;0;0.636
1;0.8797;1;0;0;0;8;0.317;4.65;12.6;0;25.24;4.954022989;3;16;0;2375
0;0.5448;0;0;0;0;11;0.183;2.76;10.9;0;46.93;4.9;3;10;0;1429
0;11181;2;0;0;0;13;0.3;6.79;10;0;41.93;4.909090909;3;13;0;1
0;40887;0;0;3;0;32;0.228;4.97;17.56666667;0;52.2;5;3;10;0;1741
0;0.5051;0;0;0;0;5;0.238;1.55;21.03333333;0;36.93;4.894736842;3;10;0;0
0;0.5637;1;0;0;0;26;0.186;2.42;16.16666667;0;36.17;4.937823834;1;16;0;0.333
